"time","vc.v_stim","naca.i","vc.v"
0,-0.1,-1.361446143577119e-11,-0.1
1,-0.09899999999999999,-1.337554393580419e-11,-0.09899999999999999
2,-0.09799999999999999,-1.313526550589934e-11,-0.09799999999999999
3,-0.09699999999999999,-1.28935749642215e-11,-0.09699999999999999
4,-0.096,-1.265042017242148e-11,-0.096
5,-0.095,-1.240574802395031e-11,-0.095
6,-0.094,-1.215950443257399e-11,-0.094
7,-0.093,-1.191163432110677e-11,-0.093
8,-0.092,-1.166208161038183e-11,-0.092
9,-0.091,-1.141078920847867e-11,-0.091
10,-0.09,-1.115769900022718e-11,-0.09
11,-0.089,-1.090275183700865e-11,-0.089
12,-0.08799999999999999,-1.064588752687514e-11,-0.08799999999999999
13,-0.08699999999999999,-1.03870448250084e-11,-0.08699999999999999
14,-0.08599999999999999,-1.012616142454082e-11,-0.08599999999999999
15,-0.08500000000000001,-9.863173947761039e-12,-0.08500000000000001
16,-0.08400000000000001,-9.598017937727374e-12,-0.08400000000000001
17,-0.083,-9.330627850313147e-12,-0.083
18,-0.082,-9.060937046708012e-12,-0.082
19,-0.08100000000000002,-8.78887778640031e-12,-0.08100000000000002
20,-0.08000000000000002,-8.514381220665756e-12,-0.08000000000000002
21,-0.07900000000000001,-8.237377386588483e-12,-0.07900000000000001
22,-0.07800000000000001,-7.957795201640609e-12,-0.07800000000000001
23,-0.07700000000000001,-7.675562458847363e-12,-0.07700000000000001
24,-0.07600000000000001,-7.390605822564992e-12,-0.07600000000000001
25,-0.07500000000000001,-7.102850824899041e-12,-0.07500000000000001
26,-0.07400000000000001,-6.812221862791379e-12,-0.07400000000000001
27,-0.07300000000000001,-6.518642195804323e-12,-0.07300000000000001
28,-0.07200000000000001,-6.222033944630617e-12,-0.07200000000000001
29,-0.07100000000000001,-5.922318090358776e-12,-0.07100000000000001
30,-0.07000000000000001,-5.619414474523028e-12,-0.07000000000000001
31,-0.06900000000000001,-5.313241799967689e-12,-0.06900000000000001
32,-0.068,-5.003717632556044e-12,-0.068
33,-0.067,-4.690758403753794e-12,-0.067
34,-0.06600000000000002,-4.37427941411769e-12,-0.06600000000000002
35,-0.06500000000000002,-4.054194837719488e-12,-0.06500000000000002
36,-0.06400000000000002,-3.730417727536091e-12,-0.06400000000000002
37,-0.06300000000000003,-3.402860021836387e-12,-0.06300000000000003
38,-0.06200000000000002,-3.071432551595231e-12,-0.06200000000000002
39,-0.06100000000000002,-2.736045048965377e-12,-0.06100000000000002
40,-0.06000000000000002,-2.396606156837521e-12,-0.06000000000000002
41,-0.05900000000000002,-2.053023439518849e-12,-0.05900000000000002
42,-0.05800000000000002,-1.705203394560106e-12,-0.05800000000000002
43,-0.05700000000000002,-1.353051465760854e-12,-0.05700000000000002
44,-0.05600000000000002,-9.964720573825311e-13,-0.05600000000000002
45,-0.05500000000000002,-6.353685495979443e-13,-0.05500000000000002
46,-0.05400000000000002,-2.696433152063575e-13,-0.05400000000000002
47,-0.05300000000000002,1.008022623585174e-13,-0.05300000000000002
48,-0.05200000000000002,4.760677696996792e-13,-0.05200000000000002
49,-0.05100000000000002,8.562537427806578e-13,-0.05100000000000002
50,-0.05000000000000002,1.241461644875871e-12,-0.05000000000000002
51,-0.04900000000000002,1.631793843122471e-12,-0.04900000000000002
52,-0.04800000000000001,2.027353583649218e-12,-0.04800000000000001
53,-0.04700000000000001,2.428244965259244e-12,-0.04700000000000001
54,-0.04600000000000002,2.834572911644261e-12,-0.04600000000000002
55,-0.04500000000000002,3.246443142109208e-12,-0.04500000000000002
56,-0.04400000000000002,3.663962140787361e-12,-0.04400000000000002
57,-0.04300000000000002,4.087237124327216e-12,-0.04300000000000002
58,-0.04200000000000002,4.516376008033979e-12,-0.04200000000000002
59,-0.04100000000000002,4.951487370449859e-12,-0.04100000000000002
60,-0.04000000000000002,5.392680416358788e-12,-0.04000000000000002
61,-0.03900000000000002,5.840064938203181e-12,-0.03900000000000002
62,-0.03800000000000002,6.293751275901552e-12,-0.03800000000000002
63,-0.03700000000000002,6.753850275058183e-12,-0.03700000000000002
64,-0.03600000000000002,7.220473243557436e-12,-0.03600000000000002
65,-0.03500000000000002,7.693731906537532e-12,-0.03500000000000002
66,-0.03400000000000002,8.1737383597407e-12,-0.03400000000000002
67,-0.03300000000000002,8.660605021238472e-12,-0.03300000000000002
68,-0.03200000000000001,9.154444581533622e-12,-0.03200000000000001
69,-0.03100000000000002,9.655369952041835e-12,-0.03100000000000002
70,-0.03000000000000002,1.016349421195939e-11,-0.03000000000000002
71,-0.02900000000000002,1.067893055352489e-11,-0.02900000000000002
72,-0.02800000000000002,1.120179222568608e-11,-0.02800000000000002
73,-0.02700000000000001,1.173219247618511e-11,-0.02700000000000001
74,-0.02600000000000001,1.227024449207851e-11,-0.02600000000000001
75,-0.02500000000000001,1.281606133871061e-11,-0.02500000000000001
76,-0.02400000000000001,1.336975589716228e-11,-0.02400000000000001
77,-0.02300000000000001,1.393144080019943e-11,-0.02300000000000001
78,-0.02200000000000001,1.450122836674851e-11,-0.02200000000000001
79,-0.021,1.507923053493012e-11,-0.021
80,-0.02,1.566555879368323e-11,-0.02
81,-0.019,1.626032411301737e-11,-0.019
82,-0.018,1.686363687293163e-11,-0.018
83,-0.017,1.747560679104369e-11,-0.017
84,-0.01600000000000001,1.809634284897444e-11,-0.01600000000000001
85,-0.01500000000000001,1.872595321753708e-11,-0.01500000000000001
86,-0.014,1.9364545180783e-11,-0.014
87,-0.013,2.001222505895965e-11,-0.013
88,-0.012,2.06690981304387e-11,-0.012
89,-0.01100000000000001,2.133526855267634e-11,-0.01100000000000001
90,-0.01,2.20108392822701e-11,-0.01
91,-0.009000000000000001,2.269591199418027e-11,-0.009000000000000001
92,-0.008000000000000007,2.339058700018664e-11,-0.008000000000000007
93,-0.007000000000000006,2.409496316665441e-11,-0.007000000000000006
94,-0.005999999999999998,2.480913783168621e-11,-0.005999999999999998
95,-0.005000000000000004,2.553320672173991e-11,-0.005000000000000004
96,-0.004000000000000004,2.626726386779483e-11,-0.004000000000000004
97,-0.003000000000000003,2.701140152115165e-11,-0.003000000000000003
98,-0.002000000000000009,2.776571006895407e-11,-0.002000000000000009
99,-0.001000000000000001,2.853027794952279e-11,-0.001000000000000001
100,-6.938893903907228e-18,2.93051915675948e-11,-6.938893903907228e-18
101,0.0009999999999999939,3.009053520956356e-11,0.0009999999999999939
102,0.002000000000000002,3.088639095881726e-11,0.002000000000000002
103,0.002999999999999996,3.169283861127554e-11,0.002999999999999996
104,0.003999999999999997,3.250995559122601e-11,0.003999999999999997
105,0.004999999999999998,3.333781686756354e-11,0.004999999999999998
106,0.005999999999999991,3.417649487053893e-11,0.005999999999999991
107,0.006999999999999999,3.502605940912184e-11,0.006999999999999999
108,0.007999999999999993,3.58865775890873e-11,0.007999999999999993
109,0.008999999999999994,3.675811373193429e-11,0.008999999999999994
110,0.009999999999999995,3.764072929474662e-11,0.009999999999999995
111,0.011,3.853448279110666e-11,0.011
112,0.012,3.943942971317383e-11,0.012
113,0.01299999999999999,4.035562245503902e-11,0.01299999999999999
114,0.014,4.128311023746705e-11,0.014
115,0.015,4.222193903413907e-11,0.015
116,0.016,4.317215149950617e-11,0.016
117,0.01699999999999999,4.413378689836506e-11,0.01699999999999999
118,0.018,4.510688103726662e-11,0.018
119,0.019,4.609146619786567e-11,0.019
120,0.02,4.708757107232078e-11,0.02
121,0.02099999999999999,4.809522070085015e-11,0.02099999999999999
122,0.022,4.911443641154847e-11,0.022
123,0.023,5.014523576256827e-11,0.023
124,0.024,5.118763248676552e-11,0.024
125,0.02499999999999999,5.224163643890877e-11,0.02499999999999999
126,0.02599999999999999,5.330725354554716e-11,0.02599999999999999
127,0.02699999999999999,5.438448575763043e-11,0.02699999999999999
128,0.028,5.547333100597033e-11,0.028
129,0.029,5.65737831596302e-11,0.029
130,0.03,5.768583198732646e-11,0.03
131,0.031,5.880946312191937e-11,0.031
132,0.03199999999999999,5.994465802807058e-11,0.03199999999999999
133,0.03299999999999999,6.109139397313698e-11,0.03299999999999999
134,0.034,6.224964400136899e-11,0.034
135,0.035,6.341937691147423e-11,0.035
136,0.036,6.460055723760602e-11,0.036
137,0.03699999999999999,6.579314523382788e-11,0.03699999999999999
138,0.03799999999999999,6.699709686210277e-11,0.03799999999999999
139,0.03899999999999999,6.821236378385004e-11,0.03899999999999999
140,0.03999999999999999,6.943889335510641e-11,0.03999999999999999
141,0.04099999999999999,7.067662862532445e-11,0.04099999999999999
142,0.042,7.192550833983408e-11,0.042
143,0.043,7.318546694598876e-11,0.043
144,0.044,7.445643460301117e-11,0.044
145,0.04500000000000001,7.573833719554849e-11,0.04500000000000001
146,0.04600000000000001,7.703109635094105e-11,0.04600000000000001
147,0.04700000000000001,7.833462946020209e-11,0.04700000000000001
148,0.04800000000000001,7.964884970270123e-11,0.04800000000000001
149,0.04900000000000002,8.097366607453754e-11,0.04900000000000002
150,0.05000000000000002,8.230898342058352e-11,0.05000000000000002
150,0.05000000000000002,8.230898342058352e-11,0.05000000000000002
